"title","cbo","average_salary","workers","soc_title","oes","oes_top","exposed_to_disease_or_infections","physical_proximity","contact_with_others","score","group","group_color"
"Analista de cobrança (instituições financeiras)","252515","4077.14","3777","Credit Analysts","132041","13","2","49","87","46","Negócios, Finanças e Gestão","#343deb"
"Analista de crédito (instituições financeiras)","252525","4272.60","12809","Credit Authorizers, Checkers, and Clerks","434041","43","0","55","95","50","Negócios, Finanças e Gestão","#343deb"
"Analista de crédito rural","252530","4128.59","369","Credit Authorizers, Checkers, and Clerks","434041","43","0","55","95","50","Negócios, Finanças e Gestão","#343deb"
"Analista de desembaraço aduaneiro","342215","3481.78","705","Business Operations Specialists, All Other","131199","13","0","47","80","42.333333333333336","Negócios, Finanças e Gestão","#343deb"
"Analista de desenvolvimento de sistemas","212405","7384.60","172558","Computer Systems Analysts","151121","15","5","48","80","44.333333333333336","Ciências, Engenharia e Computação","#8debe0"
"Analista de exportação e importação","354305","5388.73","16997","Business Operations Specialists, All Other","131199","13","0","47","80","42.333333333333336","Negócios, Finanças e Gestão","#343deb"
"Analista de folha de pagamento","413105","3136.10","20157","Payroll and Timekeeping Clerks","433051","43","7","37","82","42","Negócios, Finanças e Gestão","#343deb"
"Analista de gestão de estoque","252725","2962.31","486","Logisticians","131081","13","0","49","83","44","Negócios, Finanças e Gestão","#343deb"
"Analista de informações (pesquisador de informações de rede)","261215","4721.44","12865","Archivists","254011","25","2","44","74","40","Educação","#deb147"
"Analista de leasing","252535","3497.33","286","Credit Analysts","132041","13","2","49","87","46","Negócios, Finanças e Gestão","#343deb"
"Analista de logistica","252715","4281.16","3206","Logisticians","131081","13","0","49","83","44","Negócios, Finanças e Gestão","#343deb"
"Analista de negócios","142330","6170.55","62359","Management Analysts","131111","13","2","41","82","41.666666666666664","Negócios, Finanças e Gestão","#343deb"
"Analista de pcp (programação e controle da produção)","252705","4449.42","1607","Industrial Engineers","172112","17","2","49","72","41","Ciências, Engenharia e Computação","#8debe0"
"Analista de pesquisa de mercado","142335","5131.94","44289","Market Research Analysts and Marketing Specialists","131161","13","0","36","81","39","Negócios, Finanças e Gestão","#343deb"
"Analista de planejamento de materias","252710","4739.12","481","Logisticians","131081","13","0","49","83","44","Negócios, Finanças e Gestão","#343deb"
"Analista de produtos bancários","252540","7418.01","10515","Financial Analysts","132051","13","0","47","83","43.333333333333336","Negócios, Finanças e Gestão","#343deb"
"Analista de projetos logisticos","252720","5623.42","353","Logisticians","131081","13","0","49","83","44","Negócios, Finanças e Gestão","#343deb"
"Analista de recursos humanos","252405","4131.03","82387","Human Resources Specialists","131071","13","5","41","94","46.666666666666664","Negócios, Finanças e Gestão","#343deb"
"Analista de redes e de comunicação de dados","212410","7325.32","35087","Computer Network Architects","151143","15","0","39","68","35.666666666666664","Ciências, Engenharia e Computação","#8debe0"
"Analista de seguros (técnico)","351705","4499.39","7403","Insurance Underwriters","132053","13","1","52","88","47","Negócios, Finanças e Gestão","#343deb"
"Analista de sinistros","351710","3565.35","6228","Claims Adjusters, Examiners, and Investigators","131031","13","3","43","92","46","Negócios, Finanças e Gestão","#343deb"
"Analista de sistemas de automação","212415","5654.91","8082","Software Developers, Systems Software","151133","15","0","45","75","40","Ciências, Engenharia e Computação","#8debe0"
"Analista de suporte computacional","212420","4458.18","89934","Computer Network Support Specialists","151152","15","13","55","93","53.666666666666664","Ciências, Engenharia e Computação","#8debe0"
"Analista de transporte em comércio exterior","342105","3342.71","9689","Cargo and Freight Agents","435011","43","1","60","93","51.333333333333336","Negócios, Finanças e Gestão","#343deb"
"Analista financeiro (instituições financeiras)","252545","6872.82","40694","Financial Analysts","132051","13","0","47","83","43.333333333333336","Negócios, Finanças e Gestão","#343deb"
"Âncora de mídias audiovisuais","261705","3747.34","304","Radio and Television Announcers","273011","27","10","54","90","51.333333333333336","Artes, Entretenimento e Mídia","#9e8b75"
"Antropólogo","251105","9264.78","131","Anthropologists and Archeologists","193091","19","11","55","77","47.666666666666664","Ciências, Engenharia e Computação","#8debe0"
"Apicultor","613405","1678.15","234","Farmers, Ranchers, and Other Agricultural Managers","119013","11","4","51","77","44","Negócios, Finanças e Gestão","#343deb"
"Aplicador de asfalto impermeabilizante (coberturas)","715705","1800.94","3922","Roofers","472181","47","4","77","88","56.333333333333336","Construção e Extração","#8a8a8a"
"Aplicador de provas (concurso, avaliação,exame)","424210","1742.15","20","Graduate Teaching Assistants","251191","25","6","61","90","52.333333333333336","Educação","#deb147"
"Aplicador serigráfico em vidros","752205","1889.91","880","Molders, Shapers, and Casters, Except Metal and Plastic","519195","51","1","45","49","31.666666666666668","Indústria","#314b6b"
"Apontador de mão-de-obra","414205","2143.36","13178","Production, Planning, and Expediting Clerks","435061","43","3","52","93","49.333333333333336","Negócios, Finanças e Gestão","#343deb"
"Apontador de produção","414210","2446.88","68311","Production, Planning, and Expediting Clerks","435061","43","3","52","93","49.333333333333336","Negócios, Finanças e Gestão","#343deb"
"Apresentador de circo","376325","1826.60","12","Public Address System and Other Announcers","273012","27","2","71","85","52.666666666666664","Artes, Entretenimento e Mídia","#9e8b75"
"Apresentador de eventos","376305","2021.84","880","Radio and Television Announcers","273011","27","10","54","90","51.333333333333336","Artes, Entretenimento e Mídia","#9e8b75"
"Apresentador de festas populares","376310","1081.02","87","Public Address System and Other Announcers","273012","27","2","71","85","52.666666666666664","Artes, Entretenimento e Mídia","#9e8b75"
"Apresentador de programas de rádio","376315","2304.25","273","Radio and Television Announcers","273011","27","10","54","90","51.333333333333336","Artes, Entretenimento e Mídia","#9e8b75"
"Apresentador de programas de televisão","376320","6520.93","446","Radio and Television Announcers","273011","27","10","54","90","51.333333333333336","Artes, Entretenimento e Mídia","#9e8b75"
"Árbitro de atletismo","377210","1594.08","84","Umpires, Referees, and Other Sports Officials","272023","27","11","71","79","53.666666666666664","Artes, Entretenimento e Mídia","#9e8b75"
"Árbitro de basquete","377215","2643.69","54","Umpires, Referees, and Other Sports Officials","272023","27","11","71","79","53.666666666666664","Artes, Entretenimento e Mídia","#9e8b75"
"Árbitro de futebol","377220","5087.41","149","Umpires, Referees, and Other Sports Officials","272023","27","11","71","79","53.666666666666664","Artes, Entretenimento e Mídia","#9e8b75"
"Árbitro de futebol de salão","377225","1551.41","8","Umpires, Referees, and Other Sports Officials","272023","27","11","71","79","53.666666666666664","Artes, Entretenimento e Mídia","#9e8b75"
"Árbitro de judô","377230","2437.01","60","Umpires, Referees, and Other Sports Officials","272023","27","11","71","79","53.666666666666664","Artes, Entretenimento e Mídia","#9e8b75"
"Árbitro de karatê","377235","1402.65","21","Umpires, Referees, and Other Sports Officials","272023","27","11","71","79","53.666666666666664","Artes, Entretenimento e Mídia","#9e8b75"
"Árbitro de poló aquático","377240","1449.90","3","Umpires, Referees, and Other Sports Officials","272023","27","11","71","79","53.666666666666664","Artes, Entretenimento e Mídia","#9e8b75"
"Árbitro de vôlei","377245","1212.77","9","Umpires, Referees, and Other Sports Officials","272023","27","11","71","79","53.666666666666664","Artes, Entretenimento e Mídia","#9e8b75"
"Árbitro desportivo","377205","2112.84","103","Umpires, Referees, and Other Sports Officials","272023","27","11","71","79","53.666666666666664","Artes, Entretenimento e Mídia","#9e8b75"
"Armador de estrutura de concreto","715305","1785.04","18770","Reinforcing Iron and Rebar Workers","472171","47","13","71","86","56.666666666666664","Construção e Extração","#8a8a8a"
"Armador de estrutura de concreto armado","715315","1833.00","23336","Reinforcing Iron and Rebar Workers","472171","47","13","71","86","56.666666666666664","Construção e Extração","#8a8a8a"
"Armazenista","414110","1592.51","167001","Stock Clerks and Order Fillers","435081","43","2","58","77","45.666666666666664","Negócios, Finanças e Gestão","#343deb"
"Aromista","325010","10500.44","142","Mixing and Blending Machine Setters, Operators, and Tenders","519023","51","4","40","87","43.666666666666664","Indústria","#314b6b"
"Arqueólogo","251110","5760.20","331","Anthropologists and Archeologists","193091","19","11","55","77","47.666666666666664","Ciências, Engenharia e Computação","#8debe0"
"Arquiteto de edificações","214105","8877.23","9693","Architects, Except Landscape and Naval","171011","17","2","53","84","46.333333333333336","Ciências, Engenharia e Computação","#8debe0"
"Arquiteto de interiores","214110","6049.42","801","Architects, Except Landscape and Naval","171011","17","2","53","84","46.333333333333336","Ciências, Engenharia e Computação","#8debe0"
"Arquiteto de patrimônio","214115","7912.92","426","Architects, Except Landscape and Naval","171011","17","2","53","84","46.333333333333336","Ciências, Engenharia e Computação","#8debe0"
"Arquiteto paisagista","214120","4593.31","317","Landscape Architects","171012","17","0","47","82","43","Ciências, Engenharia e Computação","#8debe0"
"Arquiteto urbanista","214125","7464.77","3025","Urban and Regional Planners","193051","19","6","54","83","47.666666666666664","Ciências, Engenharia e Computação","#8debe0"
"Arquivista","261305","3371.11","5601","Archivists","254011","25","2","44","74","40","Educação","#deb147"
"Arquivista de documentos","415105","1788.32","10685","File Clerks","434071","43","19","47","87","51","Negócios, Finanças e Gestão","#343deb"
"Arquivista pesquisador (jornalismo)","261105","3540.58","289","Archivists","254011","25","2","44","74","40","Educação","#deb147"
"Arrematadeira","763305","1198.94","6858","Sewing Machine Operators","516031","51","0","62","64","42","Indústria","#314b6b"
"Artesão bordador","791105","1309.29","221","Craft Artists","271012","27","2","34","53","29.666666666666668","Artes, Entretenimento e Mídia","#9e8b75"
"Artesão ceramista","791110","1300.30","105","Craft Artists","271012","27","2","34","53","29.666666666666668","Artes, Entretenimento e Mídia","#9e8b75"
"Artesão com material reciclável","791115","1072.00","217","Craft Artists","271012","27","2","34","53","29.666666666666668","Artes, Entretenimento e Mídia","#9e8b75"
"Artesão confeccionador de biojóias e ecojóias","791120","1255.15","74","Craft Artists","271012","27","2","34","53","29.666666666666668","Artes, Entretenimento e Mídia","#9e8b75"
"Artesão crocheteiro","791150","1353.80","21","Craft Artists","271012","27","2","34","53","29.666666666666668","Artes, Entretenimento e Mídia","#9e8b75"
"Artesão do couro","791125","1385.00","22","Craft Artists","271012","27","2","34","53","29.666666666666668","Artes, Entretenimento e Mídia","#9e8b75"
"Artesão escultor","791130","1810.73","141","Craft Artists","271012","27","2","34","53","29.666666666666668","Artes, Entretenimento e Mídia","#9e8b75"
"Artesão modelador (vidros)","752105","1731.80","443","Molders, Shapers, and Casters, Except Metal and Plastic","519195","51","1","45","49","31.666666666666668","Indústria","#314b6b"
"Artesão moveleiro (exceto reciclado)","791135","1634.98","188","Craft Artists","271012","27","2","34","53","29.666666666666668","Artes, Entretenimento e Mídia","#9e8b75"
"Artesão rendeiro","791160","1548.59","7","Craft Artists","271012","27","2","34","53","29.666666666666668","Artes, Entretenimento e Mídia","#9e8b75"
"Artesão tecelão","791140","1537.96","195","Craft Artists","271012","27","2","34","53","29.666666666666668","Artes, Entretenimento e Mídia","#9e8b75"
"Artesão trançador","791145","1240.28","125","Craft Artists","271012","27","2","34","53","29.666666666666668","Artes, Entretenimento e Mídia","#9e8b75"
"Artesão tricoteiro","791155","1681.72","9","Craft Artists","271012","27","2","34","53","29.666666666666668","Artes, Entretenimento e Mídia","#9e8b75"
"Arteterapeuta","226310","3851.17","29","Recreational Therapists","291125","29","40","73","91","68","Saúde","#e03a3a"
"Artífice do couro","768305","1543.95","1632","Shoe and Leather Workers and Repairers","516041","51","3","55","86","48","Indústria","#314b6b"
"Artista (artes visuais)","262405","2717.54","2981","Fine Artists, Including Painters, Sculptors, and Illustrators","271013","27","0","9","51","20","Artes, Entretenimento e Mídia","#9e8b75"
"Artista aéreo","376210","1950.82","3","Dancers","272031","27","21","98","94","71","Artes, Entretenimento e Mídia","#9e8b75"
"Artista de circo (outros)","376215","1623.90","89","Dancers","272031","27","21","98","94","71","Artes, Entretenimento e Mídia","#9e8b75"
"Ascensorista","514105","1504.61","8977","Ushers, Lobby Attendants, and Ticket Takers","393031","39","16","82","97","65","Serviços","#d051f0"
"Assentador de canalização (edificações)","724105","1937.25","787","Pipelayers","472151","47","36","87","92","71.66666666666667","Construção e Extração","#8a8a8a"
"Assentador de revestimentos cerâmicos","716510","1772.31","5801","Tile and Marble Setters","472044","47","12","64","79","51.666666666666664","Construção e Extração","#8a8a8a"
"Assessor de imprensa","261110","3459.98","9096","Public Relations Specialists","273031","27","4","46","90","46.666666666666664","Artes, Entretenimento e Mídia","#9e8b75"
"Assistente administrativo","411010","3037.89","2149783","Office Clerks, General","439061","43","28","64","93","61.666666666666664","Negócios, Finanças e Gestão","#343deb"
"Assistente comercial de seguros","351715","2424.14","10356","Insurance Sales Agents","413021","41","10","61","93","54.666666666666664","Comércio","#abf051"
"Assistente de coreografia","262805","1685.76","189","Choreographers","272032","27","3","100","87","63.333333333333336","Artes, Entretenimento e Mídia","#9e8b75"
"Assistente de direção (tv)","261910","2644.54","102","Producers and Directors","272012","27","0","40","89","43","Artes, Entretenimento e Mídia","#9e8b75"
"Assistente de laboratório industrial","818105","2387.43","8953","Chemical Technicians","194031","19","8","58","77","47.666666666666664","Ciências, Engenharia e Computação","#8debe0"
"Assistente de operações audiovisuais","373145","3062.52","859","First-Line Supervisors of Farming, Fishing, and Forestry Workers","451011","45","3","32","71","35.333333333333336","Agropecuária e pesca","#10540a"
"Assistente de vendas","354125","2173.14","156318","Retail Salespersons","412031","41","19","69","97","61.666666666666664","Comércio","#abf051"
"Assistente social","251605","4243.19","73808","Mental Health and Substance Abuse Social Workers","211023","21","39","50","94","61","Jurídico e Serviço Social","#4acc3b"
"Assistente técnico de seguros","351720","2496.86","4249","Insurance Claims and Policy Processing Clerks","439041","43","0","46","84","43.333333333333336","Negócios, Finanças e Gestão","#343deb"
"Assoalhador","716505","1665.50","373","Tile and Marble Setters","472044","47","12","64","79","51.666666666666664","Construção e Extração","#8a8a8a"
"Astrólogo","516705","5386.04","967","Dancers","272031","27","21","98","94","71","Artes, Entretenimento e Mídia","#9e8b75"
"Astrônomo","213305","15035.99","51","Physicists","192012","19","5","47","77","43","Ciências, Engenharia e Computação","#8debe0"
"Atendente comercial (agência postal)","421105","2210.56","60102","Postal Service Clerks","435051","43","17","82","90","63","Negócios, Finanças e Gestão","#343deb"
"Atendente de agência","413205","2978.75","38975","Tellers","433071","43","34","76","99","69.66666666666667","Negócios, Finanças e Gestão","#343deb"
"Atendente de enfermagem","515110","1800.46","47630","Orderlies","311015","31","97","97","98","97.33333333333333","Saúde","#e03a3a"
"Atendente de farmácia - balconista","521130","1575.42","175891","Pharmacy Aides","319095","31","78","82","96","85.33333333333333","Saúde","#e03a3a"
"Atendente de judiciário","411015","5978.99","6345","Tellers","433071","43","34","76","99","69.66666666666667","Negócios, Finanças e Gestão","#343deb"
"Atendente de lanchonete","513435","1280.69","386275","Counter Attendants, Cafeteria, Food Concession, and Coffee Shop","353022","35","3","73","92","56","Alimentação","#e03a71"
"Atendente de lavanderia","516340","1339.24","2325","Counter and Rental Clerks","412021","41","10","68","98","58.666666666666664","Comércio","#abf051"
"Atendente de lojas e mercados","521140","1336.00","341972","Retail Salespersons","412031","41","19","69","97","61.666666666666664","Comércio","#abf051"
"Atleta profissional (outras modalidades)","377105","3046.15","1366","Athletes and Sports Competitors","272021","27","6","59","83","49.333333333333336","Artes, Entretenimento e Mídia","#9e8b75"
"Atleta profissional de futebol","377110","7164.15","6411","Athletes and Sports Competitors","272021","27","6","59","83","49.333333333333336","Artes, Entretenimento e Mídia","#9e8b75"
"Atleta profissional de golfe","377115","4400.47","48","Athletes and Sports Competitors","272021","27","6","59","83","49.333333333333336","Artes, Entretenimento e Mídia","#9e8b75"
"Atleta profissional de luta","377120","1195.19","341","Athletes and Sports Competitors","272021","27","6","59","83","49.333333333333336","Artes, Entretenimento e Mídia","#9e8b75"
"Atleta profissional de tênis","377125","1996.98","70","Athletes and Sports Competitors","272021","27","6","59","83","49.333333333333336","Artes, Entretenimento e Mídia","#9e8b75"
"Ator","262505","16673.89","948","Actors","272011","27","5","95","93","64.33333333333333","Artes, Entretenimento e Mídia","#9e8b75"
"Atuário","211105","8107.26","1062","Actuaries","152011","15","0","35","66","33.666666666666664","Ciências, Engenharia e Computação","#8debe0"
"Audiodescritor","261430","2164.50","17","Interpreters and Translators","273091","27","56","66","97","73","Artes, Entretenimento e Mídia","#9e8b75"
"Auditor (contadores e afins)","252205","10246.39","28832","Accountants and Auditors","132011","13","0","39","88","42.333333333333336","Negócios, Finanças e Gestão","#343deb"
"Auditor-fiscal da previdência social","254205","11782.85","143","Tax Examiners and Collectors, and Revenue Agents","132081","13","5","57","95","52.333333333333336","Negócios, Finanças e Gestão","#343deb"
"Auditor-fiscal da receita federal","254105","29633.81","8013","Tax Examiners and Collectors, and Revenue Agents","132081","13","5","57","95","52.333333333333336","Negócios, Finanças e Gestão","#343deb"
"Auditor-fiscal do trabalho","254305","27554.89","2512","Tax Examiners and Collectors, and Revenue Agents","132081","13","5","57","95","52.333333333333336","Negócios, Finanças e Gestão","#343deb"
"Autor-roteirista","261505","14385.19","728","Writers and Authors","273043","27","0","14","44","19.333333333333332","Artes, Entretenimento e Mídia","#9e8b75"
"Auxiliar de banco de sangue","515205","1659.52","3492","Phlebotomists","319097","31","88","76","96","86.66666666666667","Saúde","#e03a3a"
